epoch,train_loss,val_loss
0,0.6963759630918502,0.6924383789300919
1,0.691655957698822,0.6906851381063461
2,0.6908158153295517,0.6900040060281754
3,0.6924707949161529,0.6880388706922531
4,0.6862713634967804,0.6882933974266052
5,0.6888950318098068,0.686698779463768
6,0.6853688895702362,0.6863345950841904
7,0.6827515721321106,0.6867719292640686
8,0.6824014604091644,0.6851551681756973
9,0.6799811601638794,0.6801812797784805
10,0.6779536604881287,0.6801558285951614
11,0.676670378446579,0.6785920560359955
12,0.6751827389001847,0.6769706159830093
13,0.6729635924100876,0.6730673909187317
14,0.6717893242835998,0.6748423278331757
