epoch,batch,train_batch_loss
0,0,0.1698901653289795
0,1,0.13812896609306335
0,2,0.2612268328666687
0,3,0.1270562708377838
0,4,0.24973328411579132
0,5,0.20441146194934845
0,6,0.2762126922607422
0,7,0.3051084578037262
0,8,0.15568673610687256
0,9,0.0983804240822792
1,0,0.17482617497444153
1,1,0.2035227119922638
1,2,0.21682076156139374
1,3,0.21569018065929413
1,4,0.23560622334480286
1,5,0.10722534358501434
1,6,0.1679093837738037
1,7,0.1613689363002777
1,8,0.2674485743045807
1,9,0.12841854989528656
2,0,0.1705438643693924
2,1,0.11114268004894257
2,2,0.11662495136260986
2,3,0.13257835805416107
2,4,0.2374897301197052
2,5,0.12542955577373505
2,6,0.18450339138507843
2,7,0.251991331577301
2,8,0.21288959681987762
2,9,0.29508399963378906
3,0,0.2054203748703003
3,1,0.221979022026062
3,2,0.26980358362197876
3,3,0.13931937515735626
3,4,0.17994773387908936
3,5,0.14511850476264954
3,6,0.15037532150745392
3,7,0.09847310930490494
3,8,0.21747632324695587
3,9,0.12012149393558502
4,0,0.26380932331085205
4,1,0.06181947514414787
4,2,0.19446754455566406
4,3,0.06961812824010849
4,4,0.2509343922138214
4,5,0.25195443630218506
4,6,0.11567196995019913
4,7,0.2560531198978424
4,8,0.09300390630960464
4,9,0.07266046106815338
5,0,0.14524784684181213
5,1,0.17196670174598694
5,2,0.3181025981903076
5,3,0.19465193152427673
5,4,0.08544094115495682
5,5,0.11971691995859146
5,6,0.1397939771413803
5,7,0.10304628312587738
5,8,0.13986782729625702
5,9,0.07845578342676163
6,0,0.12039084732532501
6,1,0.067009337246418
6,2,0.12009537220001221
6,3,0.12867937982082367
6,4,0.12320784479379654
6,5,0.13093021512031555
6,6,0.1004871353507042
6,7,0.2019462138414383
6,8,0.08347469568252563
6,9,0.24163398146629333
7,0,0.10388612747192383
7,1,0.08292002975940704
7,2,0.08228901773691177
7,3,0.2114536017179489
7,4,0.10612572729587555
7,5,0.1528562605381012
7,6,0.08310692012310028
7,7,0.09370685368776321
7,8,0.06755014508962631
7,9,0.1735067516565323
8,0,0.13898414373397827
8,1,0.06030653789639473
8,2,0.19592182338237762
8,3,0.15083229541778564
8,4,0.06900705397129059
8,5,0.1726287603378296
8,6,0.01822451502084732
8,7,0.05195643752813339
8,8,0.0559411458671093
8,9,0.09560459852218628
9,0,0.11006595939397812
9,1,0.07908079028129578
9,2,0.13894182443618774
9,3,0.05164036899805069
9,4,0.034514594823122025
9,5,0.03879285231232643
9,6,0.14248374104499817
9,7,0.06567753106355667
9,8,0.10116325318813324
9,9,0.08001037687063217
10,0,0.05496405437588692
10,1,0.04956665635108948
10,2,0.13487620651721954
10,3,0.0209672711789608
10,4,0.08851881325244904
10,5,0.06723955273628235
10,6,0.11070655286312103
10,7,0.0867602527141571
10,8,0.059933848679065704
10,9,0.029404867440462112
11,0,0.05618191882967949
11,1,0.09244461357593536
11,2,0.15316610038280487
11,3,0.03788799047470093
11,4,0.03362293541431427
11,5,0.031939584761857986
11,6,0.04733116924762726
11,7,0.06548210978507996
11,8,0.045774947851896286
11,9,0.03585390746593475
12,0,0.09511585533618927
12,1,0.13745157420635223
12,2,0.01969704031944275
12,3,0.028027664870023727
12,4,0.049582064151763916
12,5,0.04702023044228554
12,6,0.018965166062116623
12,7,0.027461523190140724
12,8,0.04570577293634415
12,9,0.031215855851769447
13,0,0.104933001101017
13,1,0.02252739667892456
13,2,0.04185010865330696
13,3,0.0245821550488472
13,4,0.0654018223285675
13,5,0.07308840751647949
13,6,0.016638264060020447
13,7,0.0332353338599205
13,8,0.02515566721558571
13,9,0.04191245883703232
14,0,0.022250857204198837
14,1,0.0997801423072815
14,2,0.06580990552902222
14,3,0.02401813678443432
14,4,0.027700820937752724
14,5,0.052920300513505936
14,6,0.052755407989025116
14,7,0.03851715102791786
14,8,0.014491133391857147
14,9,0.0293660219758749
15,0,0.00737975537776947
15,1,0.014631452038884163
15,2,0.02518090233206749
15,3,0.12101034820079803
15,4,0.059920817613601685
15,5,0.026339465752243996
15,6,0.054463304579257965
15,7,0.03104581870138645
15,8,0.022164398804306984
15,9,0.041451532393693924
16,0,0.01912475936114788
16,1,0.029249724000692368
16,2,0.0985192060470581
16,3,0.02176063321530819
16,4,0.044554583728313446
16,5,0.031954068690538406
16,6,0.0215061716735363
16,7,0.02101781778037548
16,8,0.022308994084596634
16,9,0.052493005990982056
17,0,0.0625445768237114
17,1,0.023938637226819992
17,2,0.013685278594493866
17,3,0.05727885290980339
17,4,0.016723740845918655
17,5,0.03703341633081436
17,6,0.022713061422109604
17,7,0.022382702678442
17,8,0.10004620254039764
17,9,0.023391276597976685
18,0,0.048584818840026855
18,1,0.043024927377700806
18,2,0.019213488325476646
18,3,0.03474888950586319
18,4,0.010458940640091896
18,5,0.013506494462490082
18,6,0.01604536361992359
18,7,0.03423396497964859
18,8,0.053877849131822586
18,9,0.10249444097280502
19,0,0.018593531101942062
19,1,0.022281205281615257
19,2,0.05546974018216133
19,3,0.01917499490082264
19,4,0.029029633849859238
19,5,0.025112682953476906
19,6,0.032036468386650085
19,7,0.11806349456310272
19,8,0.018526840955018997
19,9,0.026671648025512695
