epoch,train_loss,val_loss
0,0.69354327917099,0.6872120201587677
1,0.696402159333229,0.683246299624443
2,0.6871934801340103,0.675702229142189
3,0.6784539997577668,0.6680272668600082
4,0.6715598255395889,0.6480914205312729
5,0.650350958108902,0.6271654814481735
6,0.61756911277771,0.5931881666183472
7,0.5785092294216156,0.5515169650316238
8,0.5355005353689194,0.5319702252745628
9,0.49558828920125964,0.44827692955732346
10,0.4557433113455772,0.45736394822597504
11,0.4331269904971123,0.42571788281202316
12,0.41544785648584365,0.3914841488003731
13,0.40991496965289115,0.5061312392354012
14,0.4039579927921295,0.3892822787165642
15,0.3684473939239979,0.4399884957820177
16,0.3831991098821163,0.4262794181704521
17,0.3901569440960884,0.36422333121299744
18,0.4071595370769501,0.40527546405792236
19,0.3915878213942051,0.38756443560123444
