epoch,train_loss,val_loss
0,0.6879066497087478,0.6790125221014023
1,0.6765164494514465,0.6735469549894333
2,0.6652786761522294,0.6645123362541199
3,0.6622723370790482,0.6584010422229767
4,0.6553549885749816,0.6534132063388824
5,0.6486330151557922,0.6520332545042038
6,0.6440821141004562,0.6435294151306152
7,0.6371529072523117,0.6419679522514343
8,0.6362429112195969,0.6367639452219009
9,0.6318368583917617,0.6345826983451843
10,0.6249531000852585,0.6272763907909393
11,0.6192468523979187,0.6218196898698807
12,0.6156102329492569,0.6193070560693741
13,0.6118934720754623,0.6152950674295425
14,0.6067638844251633,0.6103365570306778
15,0.605761605501175,0.6074641793966293
16,0.6012875646352768,0.6037807464599609
17,0.5981489419937134,0.599123477935791
18,0.5942286044359207,0.6022203266620636
19,0.5897023707628251,0.5986707955598831
