epoch,batch,train_batch_loss
0,0,0.261260986328125
0,1,0.51817786693573
0,2,0.4754956364631653
0,3,0.6068521738052368
0,4,0.5765169858932495
0,5,0.5779644846916199
0,6,0.5346387624740601
0,7,0.9620022773742676
0,8,0.5139259099960327
0,9,0.8479989767074585
1,0,0.6228569149971008
1,1,0.6761401891708374
1,2,0.5997441411018372
1,3,0.4945230484008789
1,4,0.6829301118850708
1,5,0.5057122111320496
1,6,0.5176171660423279
1,7,0.42030447721481323
1,8,0.6760843992233276
1,9,0.48631444573402405
2,0,0.39109259843826294
2,1,0.38580557703971863
2,2,0.6057994365692139
2,3,0.6621488332748413
2,4,0.5662497282028198
2,5,0.5679919719696045
2,6,0.432595431804657
2,7,0.6405569911003113
2,8,0.5852711796760559
2,9,0.5816102027893066
3,0,0.4913845658302307
3,1,0.7721503973007202
3,2,0.622043251991272
3,3,0.38179194927215576
3,4,0.4547615051269531
3,5,0.5543826818466187
3,6,0.3915293514728546
3,7,0.33660098910331726
3,8,0.6069358587265015
3,9,0.5362808704376221
4,0,0.7811118364334106
4,1,0.2681150436401367
4,2,0.4142788052558899
4,3,0.4832450747489929
4,4,0.5602235794067383
4,5,0.4747147560119629
4,6,0.4176296591758728
4,7,0.5202652812004089
4,8,0.550331711769104
4,9,0.34555014967918396
5,0,0.541758120059967
5,1,0.19146499037742615
5,2,0.654473066329956
5,3,0.41229820251464844
5,4,0.3785351514816284
5,5,0.6575668454170227
5,6,0.39447683095932007
5,7,0.32894766330718994
5,8,0.5393560528755188
5,9,0.37941601872444153
6,0,0.460737407207489
6,1,0.33217567205429077
6,2,0.31647029519081116
6,3,0.5191073417663574
6,4,0.32042643427848816
6,5,0.4433332085609436
6,6,0.4796505570411682
6,7,0.23456645011901855
6,8,0.42171716690063477
6,9,0.6963561177253723
7,0,0.4756033420562744
7,1,0.4158748686313629
7,2,0.2685866951942444
7,3,0.5721653699874878
7,4,0.265023410320282
7,5,0.5888532400131226
7,6,0.18883217871189117
7,7,0.3984469473361969
7,8,0.49853643774986267
7,9,0.3279753625392914
8,0,0.4319190979003906
8,1,0.4163450300693512
8,2,0.21704936027526855
8,3,0.290286123752594
8,4,0.5530415773391724
8,5,0.17913004755973816
8,6,0.5453727841377258
8,7,0.6774156093597412
8,8,0.14871470630168915
8,9,0.4458450376987457
9,0,0.6773669123649597
9,1,0.4022591710090637
9,2,0.29865413904190063
9,3,0.4263051152229309
9,4,0.4662363529205322
9,5,0.3812742233276367
9,6,0.39944204688072205
9,7,0.3028026223182678
9,8,0.3180817663669586
9,9,0.20410771667957306
10,0,0.5001755952835083
10,1,0.5156068801879883
10,2,0.09958457201719284
10,3,0.37085050344467163
10,4,0.4525624215602875
10,5,0.24468138813972473
10,6,0.39188042283058167
10,7,0.42312246561050415
10,8,0.2510102391242981
10,9,0.5403274893760681
11,0,0.19617429375648499
11,1,0.49305111169815063
11,2,0.21071963012218475
11,3,0.4060949385166168
11,4,0.3103486895561218
11,5,0.20119011402130127
11,6,0.4569670557975769
11,7,0.5071679353713989
11,8,0.5626388192176819
11,9,0.41483074426651
12,0,0.5006650686264038
12,1,0.49589890241622925
12,2,0.2499454766511917
12,3,0.30114859342575073
12,4,0.5307973027229309
12,5,0.26402509212493896
12,6,0.5459434390068054
12,7,0.3581838011741638
12,8,0.27165845036506653
12,9,0.19542545080184937
13,0,0.40476900339126587
13,1,0.3869304060935974
13,2,0.23814086616039276
13,3,0.15430808067321777
13,4,0.49568861722946167
13,5,0.4015437662601471
13,6,0.4650475084781647
13,7,0.35623520612716675
13,8,0.4103553295135498
13,9,0.34986308217048645
14,0,0.4343251585960388
14,1,0.22272005677223206
14,2,0.2718127965927124
14,3,0.45222076773643494
14,4,0.5312996506690979
14,5,0.30097588896751404
14,6,0.43446189165115356
14,7,0.37431004643440247
14,8,0.2574220895767212
14,9,0.34239283204078674
15,0,0.28414013981819153
15,1,0.585011899471283
15,2,0.2976233661174774
15,3,0.43528586626052856
15,4,0.2854692041873932
15,5,0.4509262144565582
15,6,0.24385061860084534
15,7,0.22633957862854004
15,8,0.5244618654251099
15,9,0.2605648338794708
16,0,0.45219606161117554
16,1,0.5659260153770447
16,2,0.41625386476516724
16,3,0.633610188961029
16,4,0.3202972710132599
16,5,0.23864054679870605
16,6,0.17536267638206482
16,7,0.23178508877754211
16,8,0.1908799707889557
16,9,0.35266005992889404
17,0,0.3296278119087219
17,1,0.45396143198013306
17,2,0.4478590488433838
17,3,0.16415031254291534
17,4,0.3744540214538574
17,5,0.24746403098106384
17,6,0.32766926288604736
17,7,0.6975137591362
17,8,0.2675003111362457
17,9,0.22731657326221466
18,0,0.42009061574935913
18,1,0.43792176246643066
18,2,0.3457876443862915
18,3,0.25380340218544006
18,4,0.28879496455192566
18,5,0.2023666799068451
18,6,0.3110617399215698
18,7,0.48396024107933044
18,8,0.4567895531654358
18,9,0.29739999771118164
19,0,0.2649841904640198
19,1,0.454031378030777
19,2,0.382756769657135
19,3,0.3672524690628052
19,4,0.4406558573246002
19,5,0.2774147689342499
19,6,0.22915001213550568
19,7,0.47349756956100464
19,8,0.2703760862350464
19,9,0.3202098608016968
20,0,0.2625057101249695
20,1,0.5053955316543579
20,2,0.20987935364246368
20,3,0.30616632103919983
20,4,0.31436076760292053
20,5,0.3003896474838257
20,6,0.3865355849266052
20,7,0.5207678079605103
20,8,0.45165959000587463
20,9,0.19801762700080872
21,0,0.3713565468788147
21,1,0.4039621949195862
21,2,0.29586532711982727
21,3,0.46301156282424927
21,4,0.7255567312240601
21,5,0.3643176555633545
21,6,0.2920019030570984
21,7,0.16986128687858582
21,8,0.2566736340522766
21,9,0.11358775943517685
22,0,0.3770768642425537
22,1,0.4395296573638916
22,2,0.5427595973014832
22,3,0.4142796993255615
22,4,0.21361751854419708
22,5,0.17720672488212585
22,6,0.4131386876106262
22,7,0.32430532574653625
22,8,0.11172609031200409
22,9,0.4199960231781006
23,0,0.6071608066558838
23,1,0.2861802875995636
23,2,0.207182377576828
23,3,0.23368601500988007
23,4,0.3864372670650482
23,5,0.2776990830898285
23,6,0.3452010750770569
23,7,0.48687705397605896
23,8,0.2499183863401413
23,9,0.3351898193359375
24,0,0.14838847517967224
24,1,0.21777555346488953
24,2,0.3838370740413666
24,3,0.37530753016471863
24,4,0.27877265214920044
24,5,0.5555323362350464
24,6,0.43802183866500854
24,7,0.2094670534133911
24,8,0.45596274733543396
24,9,0.38517382740974426
25,0,0.4673535227775574
25,1,0.3437579572200775
25,2,0.26124539971351624
25,3,0.21707971394062042
25,4,0.5259112119674683
25,5,0.5399453043937683
25,6,0.2764878273010254
25,7,0.3136715590953827
25,8,0.2890661954879761
25,9,0.18483610451221466
26,0,0.37808436155319214
26,1,0.38127195835113525
26,2,0.17141659557819366
26,3,0.34196895360946655
26,4,0.5315708518028259
26,5,0.4980924129486084
26,6,0.34614744782447815
26,7,0.47840994596481323
26,8,0.16627271473407745
26,9,0.12236782163381577
27,0,0.285860151052475
27,1,0.47477370500564575
27,2,0.3348998725414276
27,3,0.31616345047950745
27,4,0.25668054819107056
27,5,0.26961687207221985
27,6,0.32348987460136414
27,7,0.3755963444709778
27,8,0.35048967599868774
27,9,0.409176766872406
28,0,0.22272315621376038
28,1,0.20006361603736877
28,2,0.28873980045318604
28,3,0.22253350913524628
28,4,0.5352254509925842
28,5,0.4715157449245453
28,6,0.2412107288837433
28,7,0.4353979527950287
28,8,0.38797837495803833
28,9,0.3793495297431946
29,0,0.38736724853515625
29,1,0.33170413970947266
29,2,0.22935518622398376
29,3,0.3130592703819275
29,4,0.5034528970718384
29,5,0.2323046624660492
29,6,0.3401835858821869
29,7,0.34394997358322144
29,8,0.3271791636943817
29,9,0.3431123197078705
