,Device,Qubits,sim_iter_num,Dataset,Diff_mae_HQCNN-EZ,%_mae_improve_HQCNN-EZ,Diff_mae_HQCNN-EM,%_mae_improve_HQCNN-EM,Diff_mse_HQCNN-EZ,%_mse_improve_HQCNN-EZ,Diff_mse_HQCNN-EM,%_mse_improve_HQCNN-EM,Diff_rmse_HQCNN-EZ,%_rmse_improve_HQCNN-EZ,Diff_rmse_HQCNN-EM,%_rmse_improve_HQCNN-EM,Diff_r-squared_HQCNN-EZ,%_r-squared_improve_HQCNN-EZ,Diff_r-squared_HQCNN-EM,%_r-squared_improve_HQCNN-EM,Diff_adj r-squared_HQCNN-EZ,%_adj r-squared_improve_HQCNN-EZ,Diff_adj r-squared_HQCNN-EM,%_adj r-squared_improve_HQCNN-EM
0,noiseless,4,0,Train,0.20440455049276351,60.19438277894149,0.2517199044115841,74.12811624155052,0.15625142176330875,84.03285724546706,0.17238812601909698,92.71126381506024,0.2589023609684871,60.0410926644222,0.3147923775677411,73.00234049970304,0.8016064792139501,1739.6085076307156,0.88439156071032,1919.264780141394,0.835358330970327,1812.8551816362194,0.9216291001086492,2000.0759287789265
1,noiseless,4,0,Test,0.31764251124113796,75.06578380447125,0.3376311145722866,79.78952235680332,0.20017893921889887,90.2312889409375,0.2083236316800408,93.90253478560022,0.32379648022305996,68.7450626955316,0.35470367879429204,75.30695398619326,1.4992600893965826,-226.6199930695007,1.5602605742380296,-235.84049426857464,1.899062779902338,-287.05199122136753,1.976330060701504,-298.73129274019453
2,noiseless,4,1,Train,0.2745458802348003,73.64115237413739,0.27683080311864616,74.25403483337715,0.19373173757479734,91.87020488394366,0.194266481663965,92.12378774882323,0.3282776820705171,71.48720442317811,0.33033589390780715,71.93540976394493,0.9938892991615726,-1214.4188430182614,0.9966326618891611,-1217.7709179348824,1.0357372696525862,-1265.5522679874514,1.0385961423897574,-1269.0454829005614
3,noiseless,4,1,Test,0.31282067224383353,78.01446286091921,0.3050974905490875,76.08837572872595,0.20775913250092307,94.11048259655634,0.20760521000921742,94.04075897092068,0.3558267607434438,75.73167207357774,0.3551537972847615,75.58844325103513,1.5560327014505584,-238.1401044049898,1.5548798836287874,-237.9636735650849,1.9709747551707073,-301.64413224632045,1.9695145192631307,-301.42065318244084
4,noiseless,4,2,Train,0.22104214682243767,63.469718925470076,0.23796848138794308,68.32992189017475,0.16224130123231778,85.37016894156909,0.16974773460756462,89.31999848882994,0.2691980447363205,61.75103784619653,0.2934742458194062,67.31972841121105,0.8323359672268122,3325.7318198812713,0.8708457328435413,3479.6037633399214,0.8673816921626778,3465.762633349955,0.9075129215948481,3626.1133954805496
5,noiseless,4,2,Test,0.3279027660377324,75.5805293742859,0.34107759981416164,78.61728604234695,0.21262173499578452,90.73557753233654,0.21985499290446747,93.82234490255718,0.33673644325069507,69.56248619275308,0.3637606815616584,75.14511094886396,1.5924516468181025,-210.9077369727966,1.6466258518624297,-218.08268574504302,2.0171054193029296,-267.14980016554233,2.0857260790257444,-276.23806861038787
6,noiseless,4,3,Train,0.26327597023919225,67.8665485996589,0.28770060355309396,74.1626627582005,0.20882775193901587,88.00371609795504,0.2204192214682311,92.8885668140852,0.3184084131832473,65.36434798932613,0.3572246757874261,73.33272944991407,1.0713353971752932,-492.8508386362346,1.130802357369136,-520.207669447536,1.1164442560037267,-513.6024528946023,1.1784150882057312,-542.1111502663797
7,noiseless,4,3,Test,0.3581390420906246,79.14711741863492,0.36095180697739127,79.76872580699825,0.23910461863030852,94.3438244689668,0.24150784520553634,95.29206874576603,0.383699042768513,76.21728457254473,0.39419525018063567,78.30223224791551,1.7907978396808693,-199.38491054439675,1.8087970443128625,-201.388916650446,2.268343930262434,-252.5542200229025,2.2911429227962925,-255.09262775723158
8,noiseless,4,4,Train,0.24661349807865918,65.8044368540115,0.2768027428229107,73.85990123418811,0.18308695967336075,85.69433336129322,0.19707107691410677,92.23963624212017,0.2873978979497719,62.17716742666305,0.33346040010669475,72.14257054593904,0.9392790892877015,-977.5934493715649,1.0110208940006862,-1052.2616913598902,0.9788276825208679,-1018.7552788187886,1.0535901948007151,-1096.5674467855697
9,noiseless,4,4,Test,0.2896708932239562,72.499395349174,0.294089549779892,73.6053053182275,0.1999372851997001,91.8927020003375,0.19874693862023896,91.34560962887565,0.33363720015119713,71.52668266663945,0.3292291043798339,70.58165475230744,1.4974501975675985,-237.85519768592144,1.4885349783837045,-236.43910303059135,1.896770250252291,-301.2832504021671,1.8854776392860253,-299.48953050541564
10,noiseless,8,0,Train,0.33395747635047884,69.22834122646155,0.3577834971342236,74.16740087834015,0.2988126687272974,89.4868223234803,0.30666616417662684,91.8387452017361,0.39049209236122767,67.57596928739473,0.4127749345403648,71.43209003398412,2.0235406423056506,-160.43647285313915,2.076724020686384,-164.65311840175372,2.2014343251457076,-174.5407781589096,2.25929316536211,-179.12811782168808
11,noiseless,8,0,Test,0.30700102909468113,67.50748232856066,0.30927962018176913,68.00852933807465,0.2443068027828146,87.96848301112935,0.23967194107440473,86.29959066424841,0.34419720366261175,65.31352282391501,0.33193100149792193,62.98593600298451,2.4388336366892904,-137.6010387404547,2.3925653522734773,-134.99054333782559,4.2125308270087745,-237.67452146078543,4.132612881199643,-233.16548394715332
12,noiseless,8,1,Train,0.2555430388171226,52.373274496845646,0.3027480093296617,62.04788308611731,0.25003433353462134,74.56294066159592,0.28549561958669634,85.1378794322293,0.2870198738839833,49.56483435299922,0.35583622221924643,61.44857905631661,1.6932168171921038,-133.23438414061332,1.9333584211623405,-152.13043949905924,1.8420710428793217,-144.9472970320958,2.1033239966491397,-165.5045440704051
13,noiseless,8,1,Test,0.259783546323888,57.461082547685784,0.239377136901021,52.947423415142744,0.21831525095487148,78.60307808745384,0.22132786075960253,79.6877499218428,0.28323422226274786,53.74319302789464,0.2894935337623226,54.93088632094347,2.1793686109687713,-122.9458336731865,2.209442493653609,-124.6424069650416,3.764363964400605,-212.36098543550398,3.8163097617653237,-215.29143021234455
14,noiseless,8,2,Train,0.3655258291517385,62.971952877580215,0.400486378101632,68.99487619918527,0.3716076933028771,84.06140757805312,0.39163487659099677,88.59175839522757,0.3994395388464525,60.07683326444796,0.44031030260127973,66.22391140944168,2.5165039808873777,-126.22599262908038,2.6521268094207935,-133.02873416448512,2.7377351000862675,-137.32278318987863,2.885280814644599,-144.7235679371871
15,noiseless,8,2,Test,0.37936687655746937,68.2344307167424,0.359872642531991,64.72812048465771,0.3442504217590316,86.18119578824512,0.3430099776714542,85.87065744749412,0.39707523034840325,62.826347755762704,0.39445003631866804,62.41098225211801,3.4365375767975097,-115.02775890521724,3.424154635631907,-114.61327719532662,5.9358376326502444,-198.68431083628434,5.914448916091476,-197.96838788283688
16,noiseless,8,3,Train,0.20690598002111074,46.93267223691797,0.22682268683798612,51.45039701693559,0.20141860053765565,70.66070055146963,0.2163811501803338,75.90978994522759,0.24470949352570848,45.834236414013,0.27185294460313714,50.91822124782721,1.3639941239447169,-146.61190894065504,1.4653195712339242,-157.50309753930807,1.4839056952805163,-159.50086796840498,1.594138874199544,-171.34952369660988
17,noiseless,8,3,Test,0.2616593180224299,61.51314344648943,0.21400942523032424,50.31119309102996,0.18388026714664138,78.6777181656667,0.15754606101660362,67.40997704169192,0.26020593606636844,53.82394361323903,0.20745493033649032,42.91232798728951,1.8356156092767935,-137.69713595913908,1.5727299795117462,-117.97699514070086,3.1706087796599163,-237.84050756578569,2.716533600974835,-203.7784461521197
18,noiseless,8,4,Train,0.3698336181184277,72.75525501040491,0.2898242191690952,57.01546301041457,0.336384529611437,91.1452411106932,0.29412882446287736,79.69582505545236,0.42673119105710067,70.24305309796249,0.33376319522796305,54.93984582300272,2.277974926601325,-151.93790923677128,1.991821942855414,-132.85188437999872,2.4782364586102323,-165.29508807077312,2.1669271686009446,-144.53117091889968
19,noiseless,8,4,Test,0.36474119736813004,74.61240039732601,0.29566100831143555,60.48117869105153,0.2900901004636898,90.6022476143859,0.26833670812195237,83.80813007556394,0.39238048553848515,69.34424624052755,0.3381535359913502,59.76087734003626,2.895873085082954,-131.85543132527297,2.678716197305695,-121.96780356609437,5.0019626015069205,-227.75029047092605,4.6268734317098374,-210.67166070507213
20,FakeGuadalupeV2,4,0,Train,0.2817369301430881,66.65238428655735,0.3342039414914325,79.0648550300305,0.23504642005289356,87.89293835535878,0.2544561968050089,95.15100385229783,0.33719364003314245,65.20479681818021,0.4032558065639178,77.97956370163804,1.205843320362587,-324.19882020744876,1.3054200322350773,-350.97066690100706,1.2566156706936429,-337.84929684776233,1.3603850862239224,-365.74837919157574
21,FakeGuadalupeV2,4,0,Test,0.38168417403066995,76.22452434279717,0.4048543330281973,80.85173832938385,0.2888827279483149,92.70134239436997,0.2975591059092346,95.48555829336306,0.40742274720598914,72.98397215423775,0.43962632923591904,78.75278440209881,2.163615943909594,-162.19447978467082,2.2285985402210997,-167.06587039975233,2.7405801956188194,-205.44634106058308,2.8228914842800594,-211.6167691730196
22,FakeGuadalupeV2,4,1,Train,0.3153648131340742,76.25513433699304,0.3044482206087559,73.6155049463595,0.2399022462024457,92.97546097500788,0.23703938658809806,91.86594367550711,0.3733340441419851,73.49615306225883,0.36309135465655024,71.4797329527003,1.2307548485873598,-380.165809291919,1.2160677066078303,-375.6291225396857,1.2825761053699853,-396.1727907357892,1.2672705574123704,-391.4450855939882
23,FakeGuadalupeV2,4,1,Test,0.3501073465682566,74.35631756703046,0.3734760720282793,79.31940214230211,0.26934930047344396,92.58746645901711,0.2744459947963998,94.33942948193598,0.3925168102854179,72.77403162239607,0.4110386446868317,76.20804649032782,2.0173183946445725,-171.1296643684992,2.0554905940581483,-174.36782235644714,2.555269966549792,-216.7642415334323,2.603621419140321,-220.86590831816636
24,FakeGuadalupeV2,4,2,Train,0.2629576343111694,65.7981878625448,0.2924736386537552,73.18378670158428,0.2166207644401102,87.02521968962004,0.23011848607560118,92.44779399210663,0.3192038845594867,63.97947764068383,0.36180754907684654,72.51872272274565,1.1113153809922434,-401.1913537853718,1.1805618620516345,-426.1897385429784,1.1581076075603378,-418.08362131317693,1.2302697299274927,-444.1345696395247
25,FakeGuadalupeV2,4,2,Test,0.3674780336674303,74.13153851417617,0.4159818071871996,83.91623045583859,0.27850814843441213,91.20941699955422,0.29306270496907894,95.9759296623844,0.3887495491966223,70.35108264970579,0.4417359978036317,79.93991441290541,2.0859144980424196,-162.08191384275372,2.1949222978461265,-170.55215211596854,2.6421583641870647,-205.3037575341547,2.7802349106050936,-216.03272601356016
26,FakeGuadalupeV2,4,3,Train,0.2929415235575289,68.12066377591135,0.32658354539424184,75.9437843443088,0.2503566916054855,88.32902101588434,0.26501495070095415,93.50064102490812,0.3505089806409792,65.83718544364989,0.39666152012129935,74.50615961630754,1.2843886080571445,-282.8452792334687,1.3595889187635888,-299.4057288877072,1.3384681283963924,-294.7545541485621,1.416834767974687,-312.0122858935054
27,FakeGuadalupeV2,4,3,Test,0.3821596051566303,74.34703178369975,0.4276908354833722,83.20488013443223,0.2934906503012403,91.29206661639795,0.3081365488717373,95.8477631831624,0.3996805442317368,70.4907923122256,0.45145965454636683,79.62296190110641,2.198127437005404,-156.13954187235555,2.3078193520778743,-163.9312854620038,2.7842947535401783,-197.77675303831703,2.9232378459653074,-207.64629491853816
28,FakeGuadalupeV2,4,4,Train,0.2754041595009039,66.52655912867476,0.30628257115371527,73.9855404394257,0.22742832193036353,87.07239584208726,0.24169783077514712,92.53556908304182,0.32731613022282924,64.04502237810077,0.37144140013348687,72.67888926679925,1.1667606883750317,-343.17582323959755,1.2399666190225398,-364.70766414432336,1.2158874542013487,-357.625331586528,1.2921757398234885,-380.06377631882106
29,FakeGuadalupeV2,4,4,Test,0.36149988705292346,76.88806172822397,0.38556487746536733,82.00648785943385,0.27128671332859783,93.1350876957339,0.27941932222730986,95.92708304885393,0.39829807423421804,73.79902233834376,0.4307857494253494,79.81853089800926,2.0318288410569187,-171.95669833279288,2.092738824854851,-177.1116009002493,2.573649865338764,-217.81181788820433,2.6508025114828113,-224.34136114031583
30,FakeGuadalupeV2,8,0,Train,0.34688941924250694,59.48824854939535,0.4245499393157661,72.80629189208845,0.38252260737678045,82.02833123115853,0.42730689780744435,91.63189593179456,0.39338865990264127,57.606994953363525,0.485341173139487,71.07232455207394,2.5904190940915446,-120.0403707245508,2.8936954987006565,-134.0942402796059,2.8181482452204714,-130.59337034868713,3.1480863117732416,-145.88274491957128
31,FakeGuadalupeV2,8,0,Test,0.3875992149114608,69.48188642746685,0.3615893156267702,64.81929476431927,0.35570133218534644,86.52123621179493,0.35031188561065285,85.21030049706182,0.4057821188377281,63.28656405591396,0.3946002722790326,61.54262164039497,3.5508482108048622,-114.39517272957451,3.497047156393834,-112.66190210041749,6.133283273208399,-197.59166198744688,6.040354179225714,-194.59783090072116
