,Device,Model,Model_spec,T1 (us)_mean,T1 (us)_std,T2 (us)_mean,T2 (us)_std,Frequency (GHz)_mean,Frequency (GHz)_std,Anharmonicity (GHz)_mean,Anharmonicity (GHz)_std,Readout assignment error_mean,Readout assignment error_std,Prob meas0 prep1_mean,Prob meas0 prep1_std,Prob meas1 prep0_mean,Prob meas1 prep0_std,Readout length (ns)_mean,Readout length (ns)_std,ID error_mean,ID error_std,Single-qubit gate length (ns)_mean,Single-qubit gate length (ns)_std,Z-axis rotation (rz) error_mean,Z-axis rotation (rz) error_std,√x (sx) error_mean,√x (sx) error_std,Pauli-X error_mean,Pauli-X error_std,CNOT/ECR error_mean,CNOT/ECR error_std,Gate length (ns)_mean,Gate length (ns)_std,MEASURE error_mean,MEASURE error_std
0,FakeGuadalupeV2,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,76.93945059295692,3.9868076051730545,95.63078013930752,4.744067661156116,5.195175706063867,0.041456783987385434,-0.3262611576414141,0.000836142640450997,0.017959999999999983,0.00361869086979133,0.030057500000000004,0.004912498939779356,0.005862500000000005,0.002374290829794117,5351.11111111111,0.0,0.000321561360128006,8.819065384553973e-05,35.55555555555556,0.0,0.0,0.0,0.000321561360128006,8.819065384553973e-05,0.000321561360128006,8.819065384553973e-05,0.010281900212196958,0.00039351175283546425,388.5777777777778,9.007561727073089,0.017959999999999983,0.00361869086979133
1,FakeGuadalupeV2,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,76.10774261809782,4.395350049570418,95.07944823994426,5.245716793420037,5.198065187343097,0.0454429237106977,-0.32626572896868244,0.0009482227233234065,0.018167499999999986,0.004002508761875345,0.0301975,0.005451789334195187,0.006137500000000004,0.0026328915768704837,5351.11111111111,0.0,0.0003415004539565247,0.0001013701571806153,35.55555555555556,0.0,0.0,0.0,0.0003415004539565247,0.0001013701571806153,0.0003415004539565247,0.0001013701571806153,0.010352825045315064,0.00047253962372622855,389.2888888888889,12.047976036084721,0.018167499999999986,0.004002508761875345
2,FakeGuadalupeV2,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,76.42007866359415,4.208391891193084,95.39269373787114,5.087217867651165,5.193420656167455,0.038769118624344505,-0.3262782825444588,0.0008504000648682946,0.017936249999999983,0.003479894883869022,0.0299925,0.004705243086175249,0.005880000000000005,0.0023195665303864174,5351.11111111111,0.0,0.000322863080423909,8.740984957459735e-05,35.55555555555556,0.0,0.0,0.0,0.000322863080423909,8.740984957459735e-05,0.000322863080423909,8.740984957459735e-05,0.01024405713479713,0.00022410128000306705,387.6,9.087774992867484,0.017936249999999983,0.003479894883869022
3,AerSim with backend noise,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,261.0840881467601,16.71438312092516,114.29909490035304,64.99448814085589,4.8199224226854085,0.031627429621411934,-0.30902142938969523,0.001161313141673081,0.01928253173828125,0.011564258630177163,0.019110107421875,0.004499748795467879,0.0148193359375,0.0025097582363839575,840.0,0.0,0.0003556035097766492,0.00022780958858333288,60.0,0.0,0.0,0.0,0.0003556035097766492,0.00022780958858333288,0.0003556035097766492,0.00022780958858333288,0.00874777104763487,0.006168783645756536,637.7,2.359378449224867,0.01928253173828125,0.011564258630177163
4,AerSim with backend noise,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,260.1045228705783,4.070360607402574,172.40116333370656,18.57111792764421,4.776145046768701,0.0344366840705127,-0.30932473419445333,0.0006189026147658589,0.0116241455078125,0.005986671154433652,0.015069580078125,0.006311194530370985,0.00986328125,0.006131541018417421,840.0,0.0,0.0002676120771605281,4.851624336870258e-05,60.0,0.0,0.0,0.0,0.0002676120771605281,4.851624336870258e-05,0.0002676120771605281,4.851624336870258e-05,0.0062427903677563425,0.00044763689035698503,641.0,1.7950549357114927,0.0116241455078125,0.005986671154433652
5,AerSim with backend noise,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,257.96853315138776,6.690788574398619,167.00229114003764,10.979834525578472,4.78010804674442,0.03540262144895107,-0.30932438339189094,0.0005104110547913941,0.01087493896484375,0.004934456622441366,0.013677978515625,0.004777445386843598,0.009356689453125,0.005566522994871401,840.0,0.0,0.00028204469604789636,5.3291837686617495e-05,60.0,0.0,0.0,0.0,0.00028204469604789636,5.3291837686617495e-05,0.00028204469604789636,5.3291837686617495e-05,0.006262326809756089,0.0005323723369214359,640.75,1.5138251770487496,0.01087493896484375,0.004934456622441366
