,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,MAE,MSE,RMSE,R-squared,Adj R-squared
24,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.41705492885783313,0.26620221332549276,0.5159478784969396,-0.3656798547795206,-0.42318216445444756
25,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.5206619597971439,0.3393808922058046,0.582564067039673,-1.5418269712757517,-2.2196474969492854
26,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.44909248741343616,0.3082751253921256,0.5552252924643524,-0.5815237717910409,-0.6481142463927687
27,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.5393631316721439,0.3558625440714199,0.5965421561561428,-1.6652679433673496,-2.376006061598643
28,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.42102628739550707,0.2707535467765288,0.5203398377757836,-0.38902926397043514,-0.4475147066639271
29,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.48003052845597266,0.3024570091413583,0.5499609160125457,-1.265281873973906,-1.8693570403669475
30,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.13516957761719822,0.029689443375770317,0.1723062488007046,0.8476861848314922,0.8412729715612393
31,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.10550968293100596,0.02167197476940685,0.14721404406308133,0.8376855879196614,0.7944017446982378
32,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.0982699589850381,0.017143744655302943,0.13093412334186585,0.912048564815636,0.9083453464920839
33,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.08815712183713913,0.013001750632116288,0.11402521928115854,0.9026220945565966,0.8766546531050223
34,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.12722179788164795,0.02780318766094246,0.1667428788912512,0.8573631195140501,0.8513573561251679
35,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.10594278750941158,0.021709429006571617,0.14734119928442152,0.8374050706825382,0.7940464228645484
36,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.12465589851140976,0.028466491075193005,0.16872015610232527,0.853960217264921,0.8478111737813387
37,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.09435885520651936,0.01433498907709251,0.1197288147318452,0.8926366725236812,0.8640064518633295
