,Device,Qubits,sim_iter_num,Dataset,Diff_mae_HQCNN-EZ,%_mae_improve_HQCNN-EZ,Diff_mae_HQCNN-EM,%_mae_improve_HQCNN-EM,Diff_mse_HQCNN-EZ,%_mse_improve_HQCNN-EZ,Diff_mse_HQCNN-EM,%_mse_improve_HQCNN-EM,Diff_rmse_HQCNN-EZ,%_rmse_improve_HQCNN-EZ,Diff_rmse_HQCNN-EM,%_rmse_improve_HQCNN-EM,Diff_r-squared_HQCNN-EZ,%_r-squared_improve_HQCNN-EZ,Diff_r-squared_HQCNN-EM,%_r-squared_improve_HQCNN-EM,Diff_adj r-squared_HQCNN-EZ,%_adj r-squared_improve_HQCNN-EZ,Diff_adj r-squared_HQCNN-EM,%_adj r-squared_improve_HQCNN-EM
0,noiseless,4,0,Train,0.20856980687240137,60.74493268314895,0.24682690037880092,71.88712341798002,0.15833800164266554,83.63984513817577,0.17349572299756016,91.64670043266239,0.2591102507124779,59.552311732530086,0.3093448525811192,71.09792469849677,0.8123111238937505,2820.6357322255185,0.8900737932575463,3090.655626560304,0.846513697531382,2939.399342003435,0.9275505845526008,3220.788495047053
1,noiseless,4,0,Test,0.31669480409473183,75.40740897572371,0.3386654529720545,80.63878531639371,0.19767976236413967,90.4385328604309,0.2062860946452302,94.37593168923681,0.32295832338633235,69.07837788930033,0.3566504929581288,76.28488180345036,1.4805422555959606,-232.3986107970752,1.5450002378166314,-242.51648853156556,1.8753535237548835,-294.37157367629527,1.9570003012343997,-307.18755213998304
2,noiseless,4,1,Train,0.26532803408801553,71.25423498553064,0.26345960126956924,70.75246459568905,0.1895616789939346,90.5992303879136,0.19009921350630893,90.85613997737558,0.3171703867690029,69.33932549325372,0.31910004179012985,69.76118384819864,0.9724959195724581,-1324.8510017102437,0.9752535978262475,-1328.6078429713707,1.013443116186035,-1380.6342017822537,1.0163169072084053,-1384.5492258333231
3,noiseless,4,1,Test,0.30322973104193807,76.66697003910987,0.29273832621984186,74.01437981848741,0.20483894864791688,94.84769923261969,0.20124509361750942,93.18361687299178,0.3592359391873803,77.30131993401311,0.34339114494274836,73.89179606520545,1.534161693833094,-248.44717052793658,1.5072451588809577,-244.08821868071223,1.943271478855252,-314.6997493353863,1.909177201249213,-309.17841032890215
4,noiseless,4,2,Train,0.23072931081929712,65.571388563908,0.23343997685704382,66.34173774666651,0.17038724160377428,86.19879305852506,0.17370435610169832,87.87691909347141,0.2794302334546942,62.85002430488691,0.2897972056746865,65.1817850737167,0.8741265538810667,-6207.347578775857,0.8911441300658028,-6328.192792615829,0.9109318824655326,-6468.709582092734,0.9286659881738364,-6594.643015462809
5,noiseless,4,2,Test,0.3326370314694941,77.00978462494388,0.34528865702450273,79.93879993885069,0.21919330967004647,92.40324493558651,0.22287796624493345,93.95655066606396,0.3528053956251319,72.43778843341215,0.36731344355258316,75.41657197635764,1.6416701094198873,-211.38194616294777,1.6692667115770197,-214.93529311005187,2.0794488052651907,-267.7504651397339,2.114404501330892,-272.25137127273246
6,noiseless,4,3,Train,0.2632145443279296,67.77155785203149,0.29128707385680175,74.99957431243095,0.2092748839888983,87.95276435405705,0.2206619458354713,92.7384488479968,0.3184830158302072,65.29087202774616,0.3563446848195273,73.05273455060198,1.0736292895713122,-486.4907940776755,1.1320475903612401,-512.9617238632333,1.1188347333427355,-506.974616986209,1.1797127520606607,-534.560112236422
7,noiseless,4,3,Test,0.3629253251478076,79.23021338650445,0.3715018330141902,81.1025504797833,0.24301976039753104,94.07504245052633,0.24635337748869754,95.36551433994094,0.38454115519184096,75.65876430935833,0.39884036357082414,78.47214441692098,1.8201206836265431,-194.71653584048815,1.8450881406308532,-197.38755473520177,2.3054861992602875,-246.64094539795164,2.3371116447990805,-250.02423599792226
8,noiseless,4,4,Train,0.24828264770098032,66.24753599650795,0.28180098099634054,75.1910002784001,0.18258663708292067,86.1321867310459,0.19753430643517514,93.18349929373697,0.2889602226777782,62.76048702123765,0.34020967318130557,73.89157088934108,0.9367123169302543,-1070.1764030058644,1.0133973702033416,-1157.7876503363682,0.9761528355378438,-1115.2364620797953,1.0560667331592717,-1206.5366040347415
9,noiseless,4,4,Test,0.28537325374782085,70.19488988294384,0.3058723084628582,75.23715950537327,0.20085114957621722,90.57202693299574,0.203649923833114,91.83410911629358,0.326318719211124,69.29499541279263,0.3363443574662556,71.42397703719703,1.5042946757738458,-227.61918388524177,1.5252563741371659,-230.79095917046178,1.9054399226468712,-288.31763292130626,1.9319914072404099,-292.33521494925157
