epoch,train_loss,val_loss
0,0.16593623980879785,0.09978742711246014
1,0.1500137820839882,0.10168887302279472
2,0.13649563118815422,0.08171087317168713
3,0.12162786722183228,0.06535716727375984
4,0.10901557095348835,0.07561921700835228
5,0.09479003138840199,0.05731246992945671
6,0.08409688267856837,0.0490813497453928
7,0.0776823354884982,0.05206260830163956
8,0.06921863108873368,0.04572098981589079
9,0.06054653059691191,0.045050596818327904
10,0.05546052344143391,0.039780828170478344
11,0.052055954933166504,0.048711854964494705
12,0.04812810197472572,0.03239665366709232
13,0.04583583511412144,0.03586253337562084
14,0.04248899556696415,0.04403047822415829
15,0.04261752124875784,0.027621807530522346
16,0.04021760709583759,0.038761463947594166
17,0.03857591841369867,0.040389017667621374
18,0.03993090717121959,0.034475306048989296
19,0.038659543730318546,0.035624525509774685
20,0.03625694457441568,0.02833377756178379
21,0.036981596145778894,0.03301241993904114
22,0.034265363588929176,0.03297591023147106
23,0.03390913140028715,0.036714838817715645
24,0.034722989238798616,0.028864295221865177
25,0.032832644321024416,0.03420855104923248
26,0.03173900777474046,0.03076505847275257
27,0.03227593544870615,0.03224857524037361
28,0.032577056996524335,0.031009039841592312
29,0.029778245743364094,0.030970720574259758
