epoch,train_loss,val_loss
0,0.11776318922638893,0.18866120278835297
1,0.11600501723587513,0.1727442592382431
2,0.11326647698879241,0.18522335216403008
3,0.1120193962007761,0.18429796397686005
4,0.10947205349802971,0.17912569642066956
5,0.10787203218787908,0.17481257766485214
6,0.10732639133930207,0.18658244609832764
7,0.10341239683330058,0.1640428528189659
8,0.10205413810908795,0.18042796850204468
9,0.0955346379429102,0.15609341487288475
10,0.09064400903880596,0.15564705431461334
11,0.08721268698573112,0.14871887862682343
12,0.07969331331551074,0.152136642485857
13,0.0764754343777895,0.13586483895778656
14,0.07033316530287266,0.14928368479013443
15,0.07023022621870041,0.1460108682513237
16,0.06677378518506885,0.12886130809783936
17,0.061192328669130804,0.12936561554670334
18,0.06246184594929218,0.12987734749913216
19,0.06011416204273701,0.1264348030090332
20,0.06147806718945503,0.10530547983944416
21,0.05555082876235247,0.13062844052910805
22,0.05410506092011928,0.1052944790571928
23,0.0542196698486805,0.12071335688233376
24,0.05257118009030819,0.11789420992136002
25,0.05050744852051139,0.13223881274461746
26,0.04924898557364941,0.10937441140413284
27,0.0483497129753232,0.12617867439985275
28,0.044651768263429405,0.10220283642411232
29,0.04176801200956106,0.12800751626491547
