epoch,train_loss,val_loss
0,0.6957350969314575,0.6932364851236343
1,0.695269963145256,0.6930886209011078
2,0.6945033967494965,0.6932984888553619
3,0.6941400170326233,0.6930941194295883
4,0.6937821269035339,0.6928607076406479
5,0.6930267065763474,0.6926138699054718
6,0.6953333199024201,0.6922539323568344
7,0.6970792502164841,0.694346085190773
8,0.6944704413414001,0.6927003860473633
9,0.6926982581615448,0.6907418072223663
10,0.6916258037090302,0.690194621682167
11,0.690176323056221,0.6887122392654419
12,0.6870422691106797,0.6852694153785706
13,0.6809094160795212,0.6795879751443863
14,0.6733071476221084,0.6711277365684509
15,0.6625528305768966,0.6573943048715591
16,0.6508667677640915,0.6457780748605728
17,0.6426440894603729,0.6531060189008713
18,0.6397932142019271,0.6277054846286774
19,0.6164933025836945,0.6239939630031586
