,Model,Qubits,sim_iter_num,Dataset,Diff_loss_FakeGuadalupeV2,Diff_loss_AerSim,Diff_accu_FakeGuadalupeV2,Diff_accu_AerSim
59,HQCNN-EZ,10,4,Test,-0.1638123095035553,-0.13172444701194763,-8.0,-4.0
60,HQCNN-EM,4,0,Train,-0.01928955316543579,-0.030310064554214478,-0.5,-1.0
61,HQCNN-EM,4,0,Test,-0.0012793391942977905,-0.04586794972419739,0.0,-1.5
62,HQCNN-EM,4,1,Train,-0.01902329921722412,-0.02627435326576233,0.5,-1.0
63,HQCNN-EM,4,1,Test,-0.03878021240234375,-0.050064414739608765,0.5,-2.0
64,HQCNN-EM,4,2,Train,-0.018974512815475464,-0.007043749094009399,0.5,1.0
65,HQCNN-EM,4,2,Test,-0.009021073579788208,0.002180814743041992,-1.0,0.5
66,HQCNN-EM,4,3,Train,-0.07545092701911926,-0.04557007551193237,0.5,0.5
67,HQCNN-EM,4,3,Test,-0.10432465374469757,-0.06484781205654144,1.0,0.0
68,HQCNN-EM,4,4,Train,-4.0650367736816406e-05,-0.014012902975082397,3.0,2.5
69,HQCNN-EM,4,4,Test,-0.0555514395236969,-0.017791390419006348,-2.5,-1.0
70,HQCNN-EM,8,0,Train,-0.06518915295600891,-0.10881936550140381,1.5,0.0
71,HQCNN-EM,8,0,Test,-0.06613621115684509,-0.1304035484790802,-1.5,-2.0
72,HQCNN-EM,8,1,Train,-0.036307334899902344,-0.014863818883895874,0.0,-0.5
73,HQCNN-EM,8,1,Test,-0.02894158661365509,-0.016616061329841614,-0.5,0.0
74,HQCNN-EM,8,2,Train,-0.013570427894592285,-0.0116596519947052,-0.5,1.5
75,HQCNN-EM,8,2,Test,-0.020670294761657715,-0.024956703186035156,0.5,-1.5
76,HQCNN-EM,8,3,Train,-0.032339513301849365,-0.02349191904067993,-1.5,2.5
77,HQCNN-EM,8,3,Test,-0.008937239646911621,-0.018167972564697266,-1.0,-0.5
78,HQCNN-EM,8,4,Train,-0.0390191376209259,-0.07972973585128784,-0.5,-1.0
79,HQCNN-EM,8,4,Test,-0.034384965896606445,-0.06490594148635864,0.5,-0.5
80,HQCNN-EM,10,0,Train,-0.0005973875522613525,-0.052397310733795166,-1.5,0.0
81,HQCNN-EM,10,0,Test,-0.01573014259338379,-0.07007881999015808,-1.0,-2.5
82,HQCNN-EM,10,1,Train,-0.019552946090698242,-0.021324336528778076,-0.5,-3.5
83,HQCNN-EM,10,1,Test,-0.02230176329612732,-0.006451725959777832,-0.5,-0.5
84,HQCNN-EM,10,2,Train,-0.036240845918655396,-0.038854897022247314,-3.5,-1.5
85,HQCNN-EM,10,2,Test,-0.0036474764347076416,-0.010500162839889526,0.0,0.0
86,HQCNN-EM,10,3,Train,-0.0896572470664978,-0.12500730156898499,-3.0,-4.5
87,HQCNN-EM,10,3,Test,-0.07838737964630127,-0.10486993193626404,-5.0,-2.5
88,HQCNN-EM,10,4,Train,-0.06565873324871063,-0.03633899986743927,0.5,2.0
89,HQCNN-EM,10,4,Test,-0.04212605953216553,-0.011283546686172485,-0.5,0.0
