epoch,batch,train_batch_loss
0,0,0.19479474425315857
0,1,0.06605512648820877
0,2,0.11118730157613754
0,3,0.14860320091247559
0,4,0.04548896476626396
0,5,0.04508452117443085
0,6,0.2543652653694153
0,7,0.22645099461078644
0,8,0.09862374514341354
0,9,0.0468902513384819
1,0,0.15295028686523438
1,1,0.07802139222621918
1,2,0.1997411549091339
1,3,0.13774935901165009
1,4,0.05319491773843765
1,5,0.1355331838130951
1,6,0.05551239848136902
1,7,0.07066845148801804
1,8,0.18363262712955475
1,9,0.13964249193668365
2,0,0.09642345458269119
2,1,0.07059841603040695
2,2,0.07419931888580322
2,3,0.11298452317714691
2,4,0.13051089644432068
2,5,0.17802384495735168
2,6,0.20761780440807343
2,7,0.07592187076807022
2,8,0.06177866458892822
2,9,0.1463165134191513
3,0,0.11627990007400513
3,1,0.03785558417439461
3,2,0.06960027664899826
3,3,0.1467265784740448
3,4,0.13563959300518036
3,5,0.09469276666641235
3,6,0.13316354155540466
3,7,0.09625554829835892
3,8,0.09914157539606094
3,9,0.2242875099182129
4,0,0.01912727579474449
4,1,0.09499262273311615
4,2,0.16377058625221252
4,3,0.13924258947372437
4,4,0.041782163083553314
4,5,0.10174598544836044
4,6,0.18805015087127686
4,7,0.14745710790157318
4,8,0.09988582134246826
4,9,0.14531053602695465
5,0,0.2648236155509949
5,1,0.15933771431446075
5,2,0.05812150985002518
5,3,0.15034377574920654
5,4,0.07616139948368073
5,5,0.08057448267936707
5,6,0.09038664400577545
5,7,0.04536936432123184
5,8,0.049167923629283905
5,9,0.1503966599702835
6,0,0.24755032360553741
6,1,0.047056663781404495
6,2,0.13907918334007263
6,3,0.04117666929960251
6,4,0.06653736531734467
6,5,0.07049545645713806
6,6,0.12904265522956848
6,7,0.1501074880361557
6,8,0.1311076432466507
6,9,0.08630987256765366
7,0,0.119362011551857
7,1,0.0820237547159195
7,2,0.13634756207466125
7,3,0.08014121651649475
7,4,0.20810484886169434
7,5,0.04467722028493881
7,6,0.12363921105861664
7,7,0.05341247469186783
7,8,0.06787493079900742
7,9,0.1837867945432663
8,0,0.15073564648628235
8,1,0.034127622842788696
8,2,0.17826856672763824
8,3,0.05656713992357254
8,4,0.19037999212741852
8,5,0.08625785261392593
8,6,0.12922248244285583
8,7,0.11462805420160294
8,8,0.0783504992723465
8,9,0.04263658449053764
9,0,0.04823564738035202
9,1,0.10239263623952866
9,2,0.0640847235918045
9,3,0.06357356905937195
9,4,0.11225614696741104
9,5,0.15455517172813416
9,6,0.09051170200109482
9,7,0.21227538585662842
9,8,0.05348379537463188
9,9,0.14793455600738525
10,0,0.06741949915885925
10,1,0.13135527074337006
10,2,0.0828242152929306
10,3,0.09893278777599335
10,4,0.09083150327205658
10,5,0.015270519070327282
10,6,0.1466638147830963
10,7,0.11674586683511734
10,8,0.12429980933666229
10,9,0.13103875517845154
11,0,0.04696938022971153
11,1,0.10942739248275757
11,2,0.19319988787174225
11,3,0.20365099608898163
11,4,0.04075978696346283
11,5,0.056303996592760086
11,6,0.13917799293994904
11,7,0.025026539340615273
11,8,0.08976287394762039
11,9,0.10178401321172714
12,0,0.08346185833215714
12,1,0.10021992027759552
12,2,0.10506081581115723
12,3,0.108981192111969
12,4,0.09891446679830551
12,5,0.19110897183418274
12,6,0.040739528834819794
12,7,0.05584190413355827
12,8,0.06092438846826553
12,9,0.08449407666921616
