,Device,Qubits,Model,Model_spec,sim_iter_num,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CNOT/ECR error,Gate length (ns),MEASURE error
0,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
1,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
2,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
3,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
4,FakeGuadalupeV2,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
5,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,290.8145195341606,108.00703593064287,4.865563670898306,-0.30810195378882643,0.014190673828125,0.0155029296875,0.0081787109375,840.0,0.00018607344955511246,60.0,0.0,0.00018607344955511246,0.00018607344955511246,0.007230150858789905,636.0,0.014190673828125
6,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,290.8145195341606,108.00703593064287,4.865563670898306,-0.30810195378882643,0.014190673828125,0.0155029296875,0.0081787109375,840.0,0.00018607344955511246,60.0,0.0,0.00018607344955511246,0.00018607344955511246,0.007230150858789905,636.0,0.014190673828125
7,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,290.8145195341606,108.00703593064287,4.865563670898306,-0.30810195378882643,0.014190673828125,0.0155029296875,0.0081787109375,840.0,0.00018607344955511246,60.0,0.0,0.00018607344955511246,0.00018607344955511246,0.007230150858789905,636.0,0.014190673828125
8,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,290.8145195341606,108.00703593064287,4.865563670898306,-0.30810195378882643,0.014190673828125,0.0155029296875,0.0081787109375,840.0,0.00018607344955511246,60.0,0.0,0.00018607344955511246,0.00018607344955511246,0.007230150858789905,636.0,0.014190673828125
9,AerSim with backend noise,4,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,290.8145195341606,108.00703593064287,4.865563670898306,-0.30810195378882643,0.014190673828125,0.0155029296875,0.0081787109375,840.0,0.00018607344955511246,60.0,0.0,0.00018607344955511246,0.00018607344955511246,0.007230150858789905,636.0,0.014190673828125
10,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
11,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
12,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
13,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
14,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,80.25213648474595,99.90548966252894,5.157939640448022,-0.32634947314909796,0.015574999999999978,0.027050000000000005,0.004100000000000006,5351.11111111111,0.00027295059703854116,35.55555555555556,0.0,0.00027295059703854116,0.00027295059703854116,0.010105176395695017,387.55555555555554,0.015574999999999978
15,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,290.8145195341606,108.00703593064287,4.865563670898306,-0.30810195378882643,0.014190673828125,0.0155029296875,0.0081787109375,840.0,0.00018607344955511246,60.0,0.0,0.00018607344955511246,0.00018607344955511246,0.007230150858789905,636.0,0.014190673828125
