epoch,batch,train_batch_loss
0,0,0.7587181925773621
0,1,0.782719075679779
0,2,0.6498931646347046
0,3,0.7137541174888611
0,4,0.7100604176521301
0,5,0.736286997795105
0,6,0.6892164945602417
0,7,0.7325026392936707
0,8,0.751004695892334
0,9,0.6932223439216614
0,10,0.6899548768997192
0,11,0.6878423690795898
0,12,0.7047171592712402
0,13,0.7016933560371399
0,14,0.718126654624939
0,15,0.6921190619468689
0,16,0.7189005613327026
0,17,0.6754884719848633
0,18,0.7170803546905518
0,19,0.693313479423523
1,0,0.6741626858711243
1,1,0.661676824092865
1,2,0.7497721910476685
1,3,0.7177399396896362
1,4,0.6634575128555298
1,5,0.7150909304618835
1,6,0.6677536368370056
1,7,0.7149184942245483
1,8,0.6829699277877808
1,9,0.7360569834709167
1,10,0.7182720303535461
1,11,0.7346793413162231
1,12,0.6653786897659302
1,13,0.7320076823234558
1,14,0.6837611794471741
1,15,0.6986225843429565
1,16,0.7127112746238708
1,17,0.6976215243339539
1,18,0.6829754114151001
1,19,0.6971022486686707
2,0,0.6965889930725098
2,1,0.6966331005096436
2,2,0.720740020275116
2,3,0.6966410875320435
2,4,0.7065712809562683
2,5,0.7051020860671997
2,6,0.6947017312049866
2,7,0.6950509548187256
2,8,0.6806167960166931
2,9,0.6808785200119019
2,10,0.6950799822807312
2,11,0.694747805595398
2,12,0.6795135736465454
2,13,0.7023667097091675
2,14,0.6939350962638855
2,15,0.6937847137451172
2,16,0.7027195692062378
2,17,0.7029797434806824
2,18,0.6841107606887817
2,19,0.6929789185523987
3,0,0.6927138566970825
3,1,0.6933377385139465
3,2,0.672834038734436
3,3,0.6915794610977173
3,4,0.6911489963531494
3,5,0.6911324262619019
3,6,0.6923505663871765
3,7,0.6902714967727661
3,8,0.6780445575714111
3,9,0.691169798374176
3,10,0.6749101281166077
3,11,0.6928395628929138
3,12,0.7220685482025146
3,13,0.6874665021896362
3,14,0.6857340335845947
3,15,0.7054463028907776
3,16,0.6848676800727844
3,17,0.6712780594825745
3,18,0.6983273029327393
3,19,0.7095158100128174
4,0,0.7139617204666138
4,1,0.6753115653991699
4,2,0.6804550886154175
4,3,0.6674831509590149
4,4,0.7138658761978149
4,5,0.6614909172058105
4,6,0.6863117814064026
4,7,0.6894688010215759
4,8,0.6591352224349976
4,9,0.6702710390090942
4,10,0.7093983888626099
4,11,0.6765741109848022
4,12,0.683963418006897
4,13,0.6645821332931519
4,14,0.699834942817688
4,15,0.662729024887085
4,16,0.6497211456298828
4,17,0.6932196617126465
4,18,0.6765778064727783
4,19,0.6989439725875854
5,0,0.6953763365745544
5,1,0.6402997374534607
5,2,0.7062215805053711
5,3,0.6506470441818237
5,4,0.6933714151382446
5,5,0.661106526851654
5,6,0.6804795265197754
5,7,0.6636329889297485
5,8,0.6439993977546692
5,9,0.6632105112075806
5,10,0.6534284353256226
5,11,0.6687095165252686
5,12,0.6803776025772095
5,13,0.6674625873565674
5,14,0.6695690751075745
5,15,0.6867626309394836
5,16,0.6542569398880005
5,17,0.6927938461303711
5,18,0.6412107348442078
5,19,0.6665027141571045
6,0,0.6668294668197632
6,1,0.6678510308265686
6,2,0.6725772619247437
6,3,0.6619371771812439
6,4,0.6067897081375122
6,5,0.6697379946708679
6,6,0.6195429563522339
6,7,0.6175615191459656
6,8,0.6482543349266052
6,9,0.6966100931167603
6,10,0.6929411888122559
6,11,0.6662052869796753
6,12,0.6485198736190796
6,13,0.6377680897712708
6,14,0.6680092215538025
6,15,0.7256360054016113
6,16,0.6683610081672668
6,17,0.6205568909645081
6,18,0.6205487251281738
6,19,0.6491422057151794
7,0,0.6548668146133423
7,1,0.678035318851471
7,2,0.6425023674964905
7,3,0.6416847109794617
7,4,0.6490423679351807
7,5,0.6352851986885071
7,6,0.6594755053520203
7,7,0.6503818035125732
7,8,0.6344335079193115
7,9,0.6338967084884644
7,10,0.6136117577552795
7,11,0.62654048204422
7,12,0.6366704702377319
7,13,0.6289929151535034
7,14,0.6421517133712769
7,15,0.6290498971939087
7,16,0.6233708262443542
7,17,0.6400425434112549
7,18,0.6030197739601135
7,19,0.6304940581321716
8,0,0.6162623763084412
8,1,0.714739978313446
8,2,0.597295880317688
8,3,0.5529466867446899
8,4,0.6261224746704102
8,5,0.5597526431083679
8,6,0.5474592447280884
8,7,0.680591881275177
8,8,0.6165230870246887
8,9,0.5616440773010254
8,10,0.7788724899291992
8,11,0.5958107113838196
8,12,0.6051726341247559
8,13,0.6428201198577881
8,14,0.711001992225647
8,15,0.6388062238693237
8,16,0.6868182420730591
8,17,0.5844584107398987
8,18,0.556142270565033
8,19,0.5788183212280273
9,0,0.6137022972106934
9,1,0.6369856595993042
9,2,0.6039764285087585
9,3,0.6410914659500122
9,4,0.618491530418396
9,5,0.58858323097229
9,6,0.6234965920448303
9,7,0.6178513765335083
9,8,0.5668557286262512
9,9,0.595754086971283
9,10,0.5780390501022339
9,11,0.5766913294792175
9,12,0.6034599542617798
9,13,0.563420295715332
9,14,0.6532274484634399
9,15,0.629119873046875
9,16,0.5754989385604858
9,17,0.5402740240097046
9,18,0.5952406525611877
9,19,0.5192505121231079
10,0,0.6021953821182251
10,1,0.652994692325592
10,2,0.5932313203811646
10,3,0.5360077619552612
10,4,0.5755602121353149
10,5,0.5410879850387573
