epoch,batch,train_batch_loss
0,0,0.7062265872955322
0,1,0.7132866382598877
0,2,0.6971219182014465
0,3,0.688110888004303
0,4,0.6971755623817444
0,5,0.693163275718689
0,6,0.6931650638580322
0,7,0.6931374073028564
0,8,0.6934288740158081
0,9,0.6931325197219849
0,10,0.6937512159347534
0,11,0.6925139427185059
0,12,0.6946350932121277
0,13,0.6931885480880737
0,14,0.6952988505363464
0,15,0.693579375743866
0,16,0.6931260228157043
0,17,0.6976587176322937
0,18,0.6957851648330688
0,19,0.6917086839675903
1,0,0.6916400194168091
1,1,0.6947452425956726
1,2,0.6930680274963379
1,3,0.6967163681983948
1,4,0.6965296864509583
1,5,0.6945630311965942
1,6,0.6942766904830933
1,7,0.6911966800689697
1,8,0.6938251256942749
1,9,0.6923726797103882
1,10,0.6935569047927856
1,11,0.6923331022262573
1,12,0.693041205406189
1,13,0.6926447153091431
1,14,0.6930397748947144
1,15,0.6924983263015747
1,16,0.6923211812973022
1,17,0.6945329308509827
1,18,0.6914194822311401
1,19,0.6929587125778198
2,0,0.6940191984176636
2,1,0.6951424479484558
2,2,0.692958652973175
2,3,0.6937936544418335
2,4,0.6912911534309387
2,5,0.6921085119247437
2,6,0.6927207112312317
2,7,0.6910862326622009
2,8,0.6974159479141235
2,9,0.6917082071304321
2,10,0.6937853693962097
2,11,0.6938108801841736
2,12,0.6910229325294495
2,13,0.6912845373153687
2,14,0.689747154712677
2,15,0.6926433444023132
2,16,0.6958291530609131
2,17,0.6890691518783569
2,18,0.6964449286460876
2,19,0.6947265267372131
3,0,0.6927478909492493
3,1,0.6929261088371277
3,2,0.6923304796218872
3,3,0.6928841471672058
3,4,0.6967529058456421
3,5,0.6943923234939575
3,6,0.6922656297683716
3,7,0.6910291910171509
3,8,0.6919242143630981
3,9,0.6923171281814575
3,10,0.6922211050987244
3,11,0.6933432817459106
3,12,0.6919880509376526
3,13,0.6924846768379211
3,14,0.6909036040306091
3,15,0.6931828260421753
3,16,0.6926932334899902
3,17,0.6912400722503662
3,18,0.6908025145530701
3,19,0.6920690536499023
4,0,0.6914816498756409
4,1,0.6913964748382568
4,2,0.6926733255386353
4,3,0.6917873620986938
4,4,0.693104088306427
4,5,0.6933391094207764
4,6,0.6931756734848022
4,7,0.6913954019546509
4,8,0.6912585496902466
4,9,0.69097900390625
4,10,0.6899313926696777
4,11,0.6914321780204773
4,12,0.6909886598587036
4,13,0.6907691955566406
4,14,0.689160168170929
4,15,0.6908615827560425
4,16,0.6906039714813232
4,17,0.690830409526825
4,18,0.6934868693351746
4,19,0.6895776987075806
5,0,0.6875758171081543
5,1,0.6905574202537537
5,2,0.6885057687759399
5,3,0.6908517479896545
