epoch,train_loss,val_loss
0,0.6954597175121308,0.6931275576353073
1,0.6933639943599701,0.6929426193237305
2,0.6930304348468781,0.6926597058773041
3,0.6925249218940734,0.6916548162698746
4,0.6914116382598877,0.6898856312036514
5,0.688033789396286,0.6859120577573776
6,0.6827003419399261,0.6814682185649872
7,0.674777340888977,0.6689658164978027
8,0.659913370013237,0.6517752707004547
9,0.6371128886938096,0.6332064270973206
10,0.6161436855792999,0.6142881959676743
11,0.5903482437133789,0.5865774303674698
12,0.5725771605968475,0.5950421318411827
13,0.5566854596138,0.5645365864038467
14,0.5455456212162971,0.5533101707696915
15,0.5140263304114342,0.5382096841931343
16,0.4992524951696396,0.5207425728440285
17,0.48230135440826416,0.52211993932724
18,0.47146536856889726,0.5236294940114021
19,0.45622223019599917,0.5389057248830795
