epoch,train_loss,val_loss
0,0.7181043148040771,0.7110623419284821
1,0.6973353952169419,0.6839200854301453
2,0.6907813668251037,0.6722090840339661
3,0.6789397597312927,0.6732925921678543
4,0.6738722175359726,0.663523867726326
5,0.6679112851619721,0.6640860736370087
6,0.6690142095088959,0.6596193909645081
7,0.6641821086406707,0.6543828397989273
8,0.6606756001710892,0.653199091553688
9,0.6558612823486328,0.6512695401906967
10,0.6578868716955185,0.666749969124794
11,0.6563124984502793,0.6491958796977997
12,0.6558639407157898,0.6539457887411118
13,0.6488067656755447,0.6460703015327454
14,0.6444643139839172,0.6352779269218445
15,0.6404963940382004,0.6405014246702194
16,0.6357559233903884,0.6207926720380783
17,0.6319869130849838,0.6315711140632629
18,0.6203973174095154,0.6241385191679001
19,0.6227421939373017,0.6282305866479874
