epoch,batch,train_batch_loss
0,0,0.9881268739700317
0,1,0.8377996683120728
0,2,0.6312498450279236
0,3,0.6863744854927063
0,4,0.9118762016296387
0,5,0.7862807512283325
0,6,0.7370892763137817
0,7,0.7255321145057678
0,8,0.76951003074646
0,9,0.8044255375862122
0,10,0.6492558717727661
0,11,0.7294033765792847
0,12,0.6130949854850769
0,13,0.7365729808807373
0,14,0.7162138223648071
0,15,0.6163808107376099
0,16,0.7386364340782166
0,17,0.6852745413780212
0,18,0.6791368722915649
0,19,0.709214448928833
1,0,0.6812243461608887
1,1,0.6369646191596985
1,2,0.6826782822608948
1,3,0.678498387336731
1,4,0.6963378190994263
1,5,0.6630139350891113
1,6,0.6748777627944946
1,7,0.7405810952186584
1,8,0.6810750365257263
1,9,0.7146844863891602
1,10,0.7785258293151855
1,11,0.6773244738578796
1,12,0.6933468580245972
1,13,0.6941647529602051
1,14,0.7062710523605347
1,15,0.6679986715316772
1,16,0.6938456296920776
1,17,0.7160454392433167
1,18,0.7121380567550659
1,19,0.7050975561141968
2,0,0.702623188495636
2,1,0.6995634436607361
2,2,0.6897817850112915
2,3,0.6901227831840515
2,4,0.6839702129364014
2,5,0.687174916267395
2,6,0.6879885792732239
2,7,0.6800237894058228
2,8,0.6757254600524902
2,9,0.6899896264076233
2,10,0.6889800429344177
2,11,0.6873825192451477
2,12,0.6766880750656128
2,13,0.6718975305557251
2,14,0.691541314125061
2,15,0.699184238910675
2,16,0.6827970147132874
2,17,0.6805185079574585
2,18,0.6828664541244507
2,19,0.6819844841957092
3,0,0.6659037470817566
3,1,0.6823444962501526
3,2,0.6858112215995789
3,3,0.6858351230621338
3,4,0.6790050864219666
3,5,0.6712630987167358
3,6,0.6797841191291809
3,7,0.6752468347549438
3,8,0.6805127859115601
3,9,0.6871685981750488
3,10,0.6788411736488342
3,11,0.6722818613052368
3,12,0.667628288269043
3,13,0.6881526112556458
3,14,0.6792418360710144
3,15,0.6772897839546204
3,16,0.68686842918396
3,17,0.6814008951187134
