epoch,train_loss,val_loss
0,0.6987914234399796,0.6933059990406036
1,0.6925832182168961,0.6907818615436554
2,0.6902482986450196,0.6897348910570145
3,0.6881980329751969,0.6877885609865189
4,0.6861296176910401,0.6849770098924637
5,0.6823076158761978,0.6812474578619003
6,0.678553968667984,0.6782894730567932
7,0.6739766061306,0.6730324774980545
8,0.6680437564849854,0.6714806258678436
9,0.6631023645401001,0.6670083105564117
10,0.6560006141662598,0.658528745174408
11,0.6523151636123657,0.6543407589197159
12,0.6413856506347656,0.6428957581520081
13,0.6327957004308701,0.6441363841295242
14,0.6260788679122925,0.6292270720005035
15,0.6209362894296646,0.6351122707128525
16,0.6036485493183136,0.620578333735466
17,0.5987908393144608,0.611157700419426
18,0.5876156389713287,0.6083440333604813
19,0.5799379080533982,0.604914203286171
