epoch,train_loss,val_loss
0,0.19428336769342422,0.11352554708719254
1,0.18778364062309266,0.16067403182387352
2,0.1714931920170784,0.13492607325315475
3,0.167973093688488,0.15363877266645432
4,0.14595286287367343,0.09317737445235252
5,0.1285458341240883,0.1076311245560646
6,0.1027983646839857,0.05727993883192539
7,0.07833879739046097,0.0788002610206604
8,0.05694809965789318,0.04048594459891319
9,0.0444544268772006,0.029338212683796883
10,0.037510338984429833,0.033784057945013046
11,0.03324732417240739,0.03598868194967508
12,0.029871548525989056,0.018511584028601646
13,0.029430984426289795,0.04146669805049896
14,0.028887493535876274,0.04450043849647045
15,0.02527138227596879,0.015059785917401314
16,0.024168586172163487,0.015802504029124975
17,0.022251960448920728,0.014673101250082254
18,0.019634534232318403,0.013311433838680387
19,0.021665047341957688,0.017167101614177227
20,0.01890817154198885,0.008100775768980384
21,0.0184275615029037,0.009240420069545507
22,0.01830561109818518,0.010788564570248127
23,0.01821232831571251,0.0121729108504951
24,0.01648021200671792,0.008494352689012885
25,0.01518450453877449,0.011091785505414009
26,0.014876522915437817,0.009813550394028425
27,0.01482078768312931,0.017382183577865362
28,0.016533634532243012,0.006869632285088301
29,0.014181812200695277,0.007081405492499471
